,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
261,5000,0.05,1.0,2,250,random_uniform,2,0.002,0.0006250000000000001,True,1875.185302734375,-0.02297392493827639,2.7007117773364614e-09,0.3145907974243164,-0.20646706223487854,0.02,0.08,0.21,0.29,0.38
293,1000,0.05,1.0,2,250,NCE_Q,2,0.004,0.0006250000000000001,False,493.8368835449219,0.04624229080755238,1.1777065724734126e-09,0.32079836845397947,-0.20574849843978882,0.07,0.12,0.23,0.28,0.35
321,5000,0.05,1.0,2,250,random_uniform,2,0.005,0.0006250000000000001,False,1863.17041015625,-0.005067871822166219,1.1777065724734126e-09,0.32079836845397947,-0.1954491138458252,0.05,0.13,0.18,0.22,0.35
0,1000,0.05,1.0,2,250,NCE_Q,2,0.0,0.0006250000000000001,False,468.1373291015625,-0.3275984347049671,2.09671017308841e-12,0.3643513107299805,-0.2451896071434021,0.12,0.15,0.25,0.36,0.44
253,1000,0.05,1.0,2,250,NCE_Q,2,0.002,0.0006250000000000001,False,480.33197021484375,0.5778205806930437,3.1758925318247106e-13,0.3762475252151489,-0.21808382868766785,0.03,0.13,0.25,0.3,0.44
269,10000,0.05,1.0,2,250,random_uniform,2,0.002,0.0006250000000000001,False,3742.050537109375,0.00799753383742643,3.135209453141194e-13,0.3763273143768311,-0.22678643465042114,0.1,0.2,0.27,0.31,0.41
244,10000,0.05,1.0,2,250,random_uniform,2,0.001,0.0006250000000000001,True,3773.9423828125,-0.005517623209013911,1.596001648309386e-13,0.3804790925979614,-0.2530538886785507,0.07,0.17,0.23,0.32,0.42
7,10000,0.05,1.0,2,250,random_uniform,2,0.005,0.0006250000000000001,False,3783.67822265625,-0.0014534658419160915,1.0829406276243807e-14,0.39652696609497073,-0.24862274527549744,0.07,0.12,0.25,0.36,0.42
55,10000,0.05,1.0,2,250,random_uniform,2,0.0,0.0006250000000000001,False,3758.485595703125,0.013839756519346855,1.0682063517568937e-14,0.3966067552566528,-0.24067866802215576,0.07,0.13,0.18,0.29,0.44
313,1000,0.05,1.0,2,250,NCE_Q,2,0.005,0.0006250000000000001,False,476.0828552246094,0.19003464201936263,2.006931853743955e-15,0.4062075710296631,-0.21453091502189636,0.11,0.18,0.21,0.3,0.5
6,10000,0.05,1.0,2,250,random_uniform,2,0.005,0.0006250000000000001,True,3700.380126953125,-0.00723325053773961,9.130838927861111e-16,0.41063867092132567,-0.2665868252515793,0.09,0.17,0.32,0.38,0.49
287,10000,0.05,1.0,2,250,random_uniform,2,0.003,0.0006250000000000001,True,3751.93994140625,0.0026997406920729874,1.5095421609382112e-16,0.4205588817596435,-0.24954092502593994,0.05,0.08,0.2,0.26,0.44
44,10000,0.05,1.0,2,250,random_uniform,2,0.0,0.0006250000000000001,True,3748.837646484375,-0.0028268818713068937,1.1090726591605395e-17,0.4344710540771485,-0.26630739867687225,0.07,0.12,0.22,0.3,0.46
249,10000,0.05,1.0,2,250,random_uniform,2,0.001,0.0006250000000000001,False,3733.720703125,0.006283331246414915,2.3847872251382527e-18,0.4424151420593262,-0.29592813551425934,0.05,0.21,0.26,0.4,0.49
268,10000,0.05,1.0,2,250,random_uniform,2,0.002,0.0006250000000000001,True,3740.376708984375,0.015247922358212406,5.076200614970448e-19,0.4502394866943359,-0.2755289524793625,0.08,0.16,0.28,0.35,0.48
307,10000,0.05,1.0,2,250,random_uniform,2,0.004,0.0006250000000000001,True,3744.614501953125,0.011018904023884247,3.229630617820733e-19,0.4524950504302978,-0.28051896393299103,0.06,0.11,0.21,0.37,0.51
288,10000,0.05,1.0,2,250,random_uniform,2,0.003,0.0006250000000000001,False,3754.354248046875,0.01869720937210746,2.7926569741587274e-20,0.4644710540771484,-0.26295411586761475,0.07,0.15,0.21,0.25,0.44
308,10000,0.05,1.0,2,250,random_uniform,2,0.004,0.0006250000000000001,False,3754.565673828125,-0.017448705807033785,1.2440739400056029e-20,0.4683432722091675,-0.27500997483730316,0.13,0.23,0.3,0.36,0.5
129,1000,0.05,1.0,2,250,NCE_Q,50,0.0,0.0004882812500000003,True,353.0668029785156,-0.06662279343951662,4.040551276638024e-30,0.5603592300415039,-0.34167665243148804,0.39,0.43,0.49,0.56,0.62
267,1000,0.05,1.0,2,250,real_weights,2,0.0,0.0006250000000000001,False,499.34130859375,0.9007340260677629,5.108016613639385e-32,0.5764072227478028,-0.3823952078819275,0.15,0.32,0.5,0.58,0.65
257,1000,0.05,1.0,2,250,real_weights,2,0.002,0.0006250000000000001,True,499.34130859375,0.9007340260677629,9.960229659030803e-34,0.5903193950653076,-0.37940118461847305,0.17,0.31,0.45,0.59,0.65
258,1000,0.05,1.0,2,250,real_weights,2,0.002,0.0006250000000000001,False,499.34130859375,0.9007340260677629,1.761033220537333e-34,0.5962874794006348,-0.3806387111544609,0.16,0.3,0.47,0.57,0.64
169,1000,0.05,1.0,2,250,NCE_Q,50,0.002,0.0004882812500000003,True,333.70458984375,-0.055105751833214464,1.0098626727915778e-34,0.5981835746765136,-0.36399202048778534,0.34,0.44,0.52,0.58,0.69
149,1000,0.05,1.0,2,250,NCE_Q,50,0.001,0.0004882812500000003,True,317.4461975097656,0.0010165351924804945,2.9954728032486515e-35,0.6022953987121582,-0.3545309454202652,0.32,0.43,0.52,0.58,0.68
276,1000,0.05,1.0,2,250,real_weights,2,0.003,0.0006250000000000001,True,499.34130859375,0.9007340260677629,1.6430148758043758e-35,0.6043113565444946,-0.3788822367787361,0.15,0.3,0.45,0.6,0.65
144,1000,0.05,1.0,2,250,real_weights,2,0.001,0.0006250000000000001,False,499.34130859375,0.9007340260677629,4.7799407039974396e-36,0.6084231805801391,-0.38499002158641815,0.14,0.3,0.47,0.59,0.64
208,1000,0.05,1.0,2,250,NCE_Q,50,0.004,0.0004882812500000003,True,359.0209045410156,0.037712784626812046,1.5127548271544683e-36,0.612215609550476,-0.3560479134321213,0.39,0.45,0.53,0.58,0.69
256,1000,0.05,1.0,2,250,real_weights,2,0.0,0.0006250000000000001,True,499.34130859375,0.9007340260677629,1.4944939281061813e-36,0.6122554445266724,-0.38566865772008896,0.17,0.28,0.46,0.57,0.67
317,1000,0.05,1.0,2,250,real_weights,2,0.005,0.0006250000000000001,False,499.34130859375,0.9007340260677629,7.684122649839436e-37,0.6144310998916626,-0.3853892311453819,0.16,0.31,0.49,0.57,0.64
316,1000,0.05,1.0,2,250,real_weights,2,0.005,0.0006250000000000001,True,499.34130859375,0.9007340260677629,4.290081440974988e-37,0.6163273143768311,-0.3875049874186516,0.2,0.3,0.48,0.56,0.65
10,1000,0.05,1.0,2,250,NCE_Q,15,0.0,0.00014648437500000008,True,395.84100341796875,0.023362163830372155,2.4784849811614703e-37,0.6181037855148316,-0.3725748509168625,0.42,0.54,0.59,0.65,0.69
69,1000,0.05,1.0,2,250,NCE_Q,15,0.003,0.00014648437500000008,True,349.691650390625,0.12016019298343845,1.34228775024656e-37,0.6200797891616822,-0.37624750286340714,0.46,0.58,0.6,0.66,0.7
296,1000,0.05,1.0,2,250,real_weights,2,0.004,0.0006250000000000001,True,499.34130859375,0.9007340260677629,1.1562801642160269e-37,0.6205588817596436,-0.387504979968071,0.17,0.31,0.5,0.58,0.66
189,1000,0.05,1.0,2,250,NCE_Q,50,0.003,0.0004882812500000003,True,350.03253173828125,-0.11102480711139184,3.8508549374890916e-38,0.6240718698501587,-0.33437126874923706,0.4,0.53,0.62,0.66,0.7
108,1000,0.05,1.0,2,250,NCE_Q,15,0.005,0.00014648437500000008,True,371.9709777832031,0.16383652335726204,3.70854541304663e-38,0.6241916131973266,-0.3565668761730194,0.49,0.58,0.62,0.65,0.72
277,1000,0.05,1.0,2,250,real_weights,2,0.003,0.0006250000000000001,False,499.34130859375,0.9007340260677629,3.35396259868032e-38,0.6245110082626343,-0.38495010137557983,0.2,0.34,0.46,0.57,0.65
297,1000,0.05,1.0,2,250,real_weights,2,0.004,0.0006250000000000001,False,499.34130859375,0.9007340260677629,3.2707648579163256e-38,0.6245907974243164,-0.38650697469711304,0.22,0.3,0.48,0.57,0.65
133,1000,0.05,1.0,2,250,real_weights,2,0.001,0.0006250000000000001,True,499.34130859375,0.9007340260677629,5.1804186876096946e-39,0.6303991842269897,-0.38962075114250183,0.18,0.31,0.47,0.57,0.67
49,1000,0.05,1.0,2,250,NCE_Q,15,0.002,0.00014648437500000008,True,347.97943115234375,0.14533297457725222,4.1686766496575224e-42,0.6520559120178223,-0.3784431293606758,0.51,0.62,0.67,0.69,0.74
89,1000,0.05,1.0,2,250,NCE_Q,15,0.004,0.00014648437500000008,True,370.42266845703125,-0.07009728393464017,1.0566502248268549e-42,0.6560878276824951,-0.37365269660949707,0.5,0.62,0.66,0.7,0.73
229,1000,0.05,1.0,2,250,NCE_Q,50,0.005,0.0004882812500000003,True,366.9681701660156,-0.05404963424754134,1.2401240983445295e-43,0.6622953987121583,-0.3607584834098816,0.38,0.46,0.53,0.63,0.72
298,5000,0.05,1.0,2,250,NCE_Q,2,0.004,0.0006250000000000001,True,2371.013916015625,0.21698560912830459,6.488951455773458e-44,0.6641516590118408,-0.3735329508781433,0.5,0.61,0.65,0.69,0.75
209,1000,0.05,1.0,2,250,NCE_Q,50,0.004,0.0004882812500000003,False,449.3154602050781,-0.0661721588562824,6.398886506293434e-44,0.6641916131973267,-0.3551696538925171,0.49,0.57,0.62,0.67,0.76
30,1000,0.05,1.0,2,250,NCE_Q,15,0.001,0.00014648437500000008,True,403.6761169433594,0.09689090349952768,3.154768326356335e-44,0.6662075710296631,-0.38762476295232773,0.5,0.56,0.65,0.68,0.75
230,1000,0.05,1.0,2,250,NCE_Q,50,0.005,0.0004882812500000003,False,387.4532470703125,-0.36719617194355075,1.953168359875793e-45,0.6740319156646728,-0.3988822400569916,0.6,0.66,0.69,0.71,0.74
289,5000,0.05,1.0,2,250,NCE_Q,2,0.0,0.0006250000000000001,False,2470.081298828125,-0.3628357322066877,1.8708825808982708e-45,0.6741516590118408,-0.3805988058447838,0.58,0.67,0.69,0.71,0.76
