,npi_school_closing,npi_workplace_closing,npi_cancel_public_events,npi_gatherings_restrictions,npi_close_public_transport,npi_stay_at_home,npi_internal_movement_restrictions,npi_international_travel_controls,npi_income_support,npi_debt_relief,npi_fiscal_measures,npi_international_support,npi_public_information,npi_testing_policy,npi_contact_tracing,npi_healthcare_investment,npi_vaccine_investment,npi_masks,cases_total,cases_new,deaths_total,deaths_new,cases_total_per_million,cases_new_per_million,deaths_total_per_million,deaths_new_per_million,tests_total,tests_new,tests_total_per_thousand,tests_new_per_thousand,stats_population,stats_population_density,stats_median_age,stats_gdp_per_capita,cases_days_since_first,deaths_days_since_first,mobility_retail_recreation,mobility_grocery_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,mobility_travel_driving,mobility_travel_transit,mobility_travel_walking,stats_hospital_beds_per_1000,stats_smoking,stats_population_urban,stats_population_school_age,deaths_excess_daily_avg,weather_precipitation_mean,weather_humidity_mean,weather_sw_radiation_mean,weather_temperature_mean,weather_temperature_min,weather_temperature_max,weather_wind_speed_mean
776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932.0,13.6,3.6,0.0,160.123,1.1096,0.9136000000000001,0.0,543263.0,1320.4,159.74,0.3938,9867236.0,342.982,18.619999999999997,1146.1618,321.6,278.8,0.2,26.0,-4.0,-1.2,-8.8,0.6,120.776,81.41199999999999,123.636,3.2,14.9,1165085.0,1116334.0,8.999999999999993,3.774196616617359e-05,0.0059470727955246,87.4858146139222,12.601456202615571,10.652626298691724,14.797944639785086,5.217447539732294
777,3.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,1589.8,7.2,1.437,0.0,228.4674,1.0348000000000002,847740.8,14.0,122.3584,0.002,6958538.0,3.623,29.0,17881.509,8.0,-1.0,-51.0,-29.0,-30.0,-54.0,-39.0,19.0,85.70599999999999,67.352,95.602,3.2,27.24,1165085.0,1116334.0,-27.25142857142857,1.4338115918682625e-08,0.0072851144420845,218.2226957361971,17.294453427351886,12.96714204037868,21.43200244023372,4.047857205816597
778,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,874.0,50.0,25.0,1.0,125.601,7.185,3.593,0.144,847740.8,788.0,122.35839999999999,0.113,6958538.0,3.623,29.0,17881.509,99.0,90.0,-2.0,19.0,27.0,-26.0,-9.0,-1.0,85.70599999999999,67.352,95.602,3.2,30.139999999999997,1165085.0,1116334.0,-27.25142857142857,2.1502057690692696e-08,0.0131257824275798,279.3140060766446,25.262804158984554,20.804743729967413,29.5498980508074,4.0103725384443685
779,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,35208.0,683.0,559.0,8.0,5059.684,98.153,80.333,1.15,847740.8,0.0,122.3584,0.0,6958538.0,3.623,29.0,17881.509,191.0,182.0,7.0,21.0,51.0,-16.0,-20.0,-9.0,85.70599999999999,67.352,95.602,3.2,32.38,1165085.0,1116334.0,-27.25142857142857,4.656601809011522e-05,0.013385949747404863,173.04934423749023,18.008719147205234,16.015811042388062,19.684927088104754,5.505239062919787
780,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,100744.0,467.0,1487.0,9.0,14477.754,67.112,213.694,1.293,1427033.6,0.0,206.91680000000002,0.0,6958538.0,3.623,29.0,17881.509,283.0,274.0,23.0,49.0,57.0,2.0,-8.0,0.0,85.70599999999999,67.352,95.602,3.2,32.38,1165085.0,1116334.0,-27.25142857142857,4.656601809011522e-05,0.01338594974740486,173.0493442374902,18.008719147205234,16.015811042388062,19.684927088104754,5.505239062919787
781,1.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,159980.0,1023.0,2680.0,13.0,22990.462,147.014,385.138,1.868,1427033.6,6322.0,206.91680000000002,0.909,6958538.0,3.623,29.0,17881.509,373.0,364.0,68.0,94.0,78.0,15.0,10.0,-6.0,85.70599999999999,67.352,95.602,3.2,32.38,1165085.0,1116334.0,-27.25142857142857,4.472289452517318e-05,0.01048422192325904,149.23063338634623,13.455302292095885,10.674960339072525,15.267168075901875,7.026527585834842
782,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,193905.0,431.0,3198.0,5.0,27865.767,61.938,459.579,0.719,1427033.6,2738.0,206.91680000000002,0.393,6958538.0,3.623,29.0,17881.509,464.0,455.0,90.0,124.0,141.0,48.0,12.0,-12.0,85.706,89.312,95.602,3.2,32.38,1165085.0,1116334.0,-27.25142857142857,4.656601809011522e-05,0.01338594974740486,173.04934423749023,18.008719147205234,16.015811042388062,19.684927088104754,5.505239062919787
783,2.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,341091.0,1007.0,4664.0,13.0,49017.624,144.714,670.256,1.868,2355987.8,0.0,341.61320000000006,0.0,6958538.0,3.623,29.0,17881.509,556.0,547.0,110.0,150.0,147.0,61.0,7.0,-5.0,114.52799999999999,106.69800000000001,146.13000000000002,3.2,29.54,1165085.0,1116334.0,-27.25142857142857,5.2217286438318145e-05,0.014021352418152439,181.6516766241914,21.978907114370635,20.11776665531498,23.277812945835997,7.202671929775498
784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932.0,13.6,3.6,0.0,160.123,1.1096,0.9136000000000001,0.0,373830.6,844.0,509.69120000000004,2.3095999999999997,9867236.0,342.982,18.619999999999997,1146.1618,321.6,278.8,17.4,29.2,-0.4,5.8,-15.6,2.2,103.726,101.556,116.328,0.9120000000000001,14.9,2043126.4,3451.0,-0.6857142857142857,0.0,0.0028279621619731,53.26822280883789,-2.0726354122161865,-5.005468845367432,1.8291667699813845,2.219184160232544
785,3.0,3.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,73.0,4.0,7.0,0.4,1908.297,104.564,200.4176,11.761199999999999,23371.6,172.4,610.9582,4.5068,38254.0,237.012,37.2,54384.60800000001,28.0,-3.0,-56.0,-6.0,5.6,-39.0,-36.0,13.2,42.474,59.572,33.624,0.8800000000000001,24.02,2280563.6,3451.0,0.3142857142857143,0.0,0.0031136404722929,211.1082763671875,0.49333855509758,-6.0328125953674325,6.433332920074463,1.3233507871627808
