,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
0,1000,0.5,1.0,2,250,random_uniform,1,0.1,382.9480895996094,0.04964768036340661,2.2348462019582077e-28,0.5450199127197266,-0.3324701339006424,0.11,0.19,0.4,0.53
6,5000,0.5,1.0,2,250,ones,1,0.0,2500.0,,8.338546118810481e-29,0.548844645023346,-0.3412749171257019,0.15,0.28,0.46,0.57
90,1000,0.5,0.5,2,250,random_uniform,1,0.25,375.66656494140625,0.03278622744824778,3.5950498913375724e-30,0.5607968664169312,-0.35637451708316803,0.1,0.24,0.45,0.6
213,1000,0.5,1.0,2,250,ones,3,0.0,500.0,,3.445265925436366e-30,0.5609561681747437,-0.35868528485298157,0.17,0.27,0.46,0.58
138,10000,0.5,1.0,2,250,random_uniform,3,0.0,3763.2880859375,0.013467528800544061,4.3524493915577703e-35,0.6010358786582947,-0.3759761229157448,0.14,0.24,0.52,0.63
67,5000,0.5,0.75,2,250,ones,15,0.0,2500.0,,2.5661975998812366e-36,0.6104781436920166,-0.3807171508669853,0.15,0.24,0.55,0.69
7,5000,0.5,0.75,2,250,random_uniform,1,0.1,1890.5025634765625,0.0020198719194892646,4.176480437668479e-37,0.6164143991470337,-0.3964143693447113,0.22,0.39,0.58,0.71
238,1000,0.5,1.0,2,250,random_uniform,15,0.0,375.0652770996094,0.015423769296534566,1.743615532094328e-42,0.6546215391159058,-0.38231079280376434,0.14,0.27,0.57,0.68
173,10000,0.5,0.75,2,250,random_uniform,15,0.0,3740.87744140625,0.01516536231899997,2.696586027370039e-44,0.6666534113883972,-0.4082071855664253,0.2,0.33,0.62,0.73
277,1000,0.5,0.75,2,250,ones,1,0.1,500.0,,7.809291184211836e-46,0.6765737009048461,-0.4081275016069412,0.22,0.39,0.56,0.74
214,1000,0.5,0.75,2,250,random_uniform,3,0.1,376.8494567871094,-0.057167633554045555,8.778800405538615e-48,0.6887649345397949,-0.40824703872203827,0.29,0.4,0.61,0.75
249,1000,0.5,0.5,2,250,random_uniform,15,0.1,373.01885986328125,0.021869261951443245,9.61654220942644e-49,0.6946215391159057,-0.42314743250608444,0.21,0.33,0.64,0.78
101,1000,0.5,0.5,2,250,ones,1,0.25,500.0,,1.4493012234921531e-61,0.7643028163909912,-0.4504382647573948,0.4,0.55,0.76,0.85
174,10000,0.5,0.75,2,250,ones,15,0.0,5000.0,,7.284662548346084e-63,0.7705577945709229,-0.4517928399145603,0.35,0.61,0.8,0.85
111,10000,0.5,1.0,2,250,ones,1,0.0,5000.0,,9.213905028798233e-67,0.7885259222984314,-0.45597611367702484,0.38,0.53,0.76,0.88
225,1000,0.5,0.5,2,250,random_uniform,3,0.25,368.14794921875,-0.025177831282509805,1.1585130821600558e-67,0.7925099563598633,-0.45298807322978973,0.28,0.54,0.8,0.86
250,1000,0.5,0.5,2,250,ones,15,0.1,500.0,,2.3082385956494886e-73,0.8163346886634827,-0.45338647812604904,0.29,0.53,0.8,0.9
114,10000,0.5,0.75,2,250,random_uniform,1,0.1,3712.2021484375,0.018944057865831157,1.6643356301827737e-77,0.8321912336349487,-0.4711952395737171,0.45,0.64,0.88,0.9
264,1000,0.5,1.0,2,250,random_uniform,50,0.0,375.3082580566406,0.05364259116453584,2.3345785072699215e-80,0.842430305480957,-0.4754581805318594,0.51,0.65,0.88,0.94
284,5000,0.5,1.0,2,250,random_uniform,1,0.1,1879.588134765625,-0.022738674295722162,1.0280854224957603e-82,0.8504781436920166,-0.4767330829054117,0.51,0.71,0.89,0.94
93,5000,0.5,0.75,2,250,random_uniform,50,0.0,1862.797607421875,0.025090852871505854,2.113566511945994e-86,0.8623506546020507,-0.4734263103455305,0.53,0.7,0.86,0.95
226,1000,0.5,0.5,2,250,ones,3,0.25,500.0,,1.1933901414095802e-87,0.8661753273010254,-0.4823506139218807,0.55,0.74,0.91,0.94
239,1000,0.5,1.0,2,250,ones,15,0.0,500.0,,3.8863839480766865e-97,0.8921912336349487,-0.4871314838528633,0.72,0.83,0.94,0.97
215,1000,0.5,0.75,2,250,ones,3,0.1,500.0,,4.7924564801640166e-107,0.9141434550285339,-0.48936255648732185,0.74,0.84,0.95,0.96
94,5000,0.5,0.75,2,250,ones,50,0.0,2500.0,,1.4733977320099454e-113,0.9260956764221191,-0.4919123584404588,0.76,0.9,0.96,0.97
2,1000,0.5,0.75,2,250,random_uniform,1,0.25,375.44708251953125,-0.012262012488552127,9.068065498715011e-115,0.9281274890899658,-0.4952988112345338,0.81,0.9,0.96,0.99
18,5000,0.5,0.5,2,250,random_uniform,1,0.25,1891.2447509765625,-0.025914553116731756,3.632473904320926e-124,0.9421115827560425,-0.49358566384762526,0.8,0.91,0.97,0.98
265,1000,0.5,1.0,2,250,ones,50,0.0,500.0,,3.632473904320926e-124,0.9421115827560425,-0.4967330736108124,0.86,0.94,0.97,1.0
199,10000,0.5,0.75,2,250,random_uniform,50,0.0,3744.787841796875,0.0032764135143051377,2.7616142920007054e-134,0.9541434550285339,-0.49768924713134766,0.87,0.95,0.99,1.0
104,10000,0.5,1.0,2,250,random_uniform,1,0.1,3753.647216796875,-0.0022485015197013943,2.632680913594852e-140,0.960079710483551,-0.4977290874812752,0.86,0.95,0.98,1.0
58,5000,0.5,1.0,2,250,random_uniform,15,0.0,1873.6395263671875,0.034006749503355346,2.1209890118515833e-147,0.9660956764221191,-0.49752988456748426,0.89,0.96,0.99,0.99
1,1000,0.5,1.0,2,250,ones,1,0.1,500.0,,7.899673674320541e-153,0.970079710483551,-0.49844621773809195,0.92,0.95,0.99,1.0
69,5000,0.5,0.5,2,250,random_uniform,15,0.1,1869.7196044921875,-0.004720917073886303,4.917648684696603e-159,0.9740637445449829,-0.4988844639156014,0.93,0.95,0.99,1.0
157,1000,0.5,1.0,2,250,random_uniform,3,0.1,363.4073486328125,0.01332552005962968,2.810343964896448e-166,0.9780478382110596,-0.4983266955241561,0.93,0.96,0.99,0.99
125,10000,0.5,0.5,2,250,random_uniform,1,0.25,3762.59423828125,0.018993642142327797,1.70057034566539e-170,0.980079710483551,-0.4996414345514495,0.98,0.98,1.0,1.0
8,5000,0.5,0.75,2,250,ones,1,0.1,2500.0,,1.70057034566539e-170,0.980079710483551,-0.4994422328309156,0.95,0.98,1.0,1.0
33,5000,0.5,0.75,2,250,random_uniform,3,0.1,1891.077392578125,-0.009189069794597575,5.638564374417376e-175,0.9820319318771362,-0.49932271061697975,0.95,0.99,1.0,1.0
200,10000,0.5,0.75,2,250,ones,50,0.0,5000.0,,1.1109034718736501e-192,0.9880478382110596,-0.49960159600595944,0.93,0.99,1.0,1.0
165,10000,0.5,1.0,2,250,ones,15,0.0,5000.0,,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
163,10000,0.5,1.0,2,250,ones,15,0.5,5000.0,,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
113,1000,0.5,0.5,2,250,random_uniform,1,0.5,375.9353332519531,-0.031553076260103265,2.0000000000001775e-200,0.99,-0.4991235065390356,0.99,0.99,0.99,1.0
162,10000,0.5,1.0,2,250,random_uniform,15,0.5,3736.463623046875,-0.0035527990922772303,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
178,10000,0.5,0.5,2,250,ones,15,0.25,5000.0,,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
161,10000,0.5,1.0,2,250,ones,15,0.25,5000.0,,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
166,10000,0.5,0.75,2,250,random_uniform,15,0.1,3731.731201171875,-0.011894734811160648,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
159,10000,0.5,1.0,2,250,ones,15,0.1,5000.0,,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
158,10000,0.5,1.0,2,250,random_uniform,15,0.1,3767.9853515625,0.007532827635646188,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
160,10000,0.5,1.0,2,250,random_uniform,15,0.25,3717.13330078125,0.01243162149222392,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
164,10000,0.5,1.0,2,250,random_uniform,15,0.0,3735.796142578125,-0.0006484858816032186,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
167,10000,0.5,0.75,2,250,ones,15,0.1,5000.0,,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
171,10000,0.5,0.75,2,250,random_uniform,15,0.5,3770.97900390625,0.017455704718264207,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
175,10000,0.5,0.5,2,250,random_uniform,15,0.1,3742.455322265625,-0.028881625619563814,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
180,10000,0.5,0.5,2,250,random_uniform,15,0.5,3747.517822265625,0.002084100924353373,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
181,10000,0.5,0.5,2,250,ones,15,0.5,5000.0,,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
172,10000,0.5,0.75,2,250,ones,15,0.5,5000.0,,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
177,10000,0.5,0.5,2,250,random_uniform,15,0.25,3763.44580078125,-0.01867618481632025,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
170,10000,0.5,0.75,2,250,ones,15,0.25,5000.0,,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
169,10000,0.5,0.75,2,250,random_uniform,15,0.25,3749.472900390625,0.01891077332659264,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
176,10000,0.5,0.5,2,250,ones,15,0.1,5000.0,,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
112,1000,0.5,1.0,2,250,random_uniform,1,0.25,364.42413330078125,0.0798725542484562,2.7310763292363086e-210,0.9920319318771362,-0.49984063864394557,0.97,1.0,1.0,1.0
70,5000,0.5,0.5,2,250,ones,15,0.1,2500.0,,2.1544393453090325e-240,0.9960159659385681,-0.4999601596609864,0.99,1.0,1.0,1.0
44,5000,0.5,0.5,2,250,random_uniform,3,0.25,1854.4178466796875,0.011329275277028907,2.1544393453090325e-240,0.9960159659385681,-0.4999601596609864,0.99,1.0,1.0,1.0
198,10000,0.5,0.75,2,250,ones,50,0.5,5000.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
196,10000,0.5,0.75,2,250,ones,50,0.25,5000.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
197,10000,0.5,0.75,2,250,random_uniform,50,0.5,3758.189697265625,-0.0009634309903617162,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
275,1000,0.5,0.5,2,250,random_uniform,50,0.1,362.1692810058594,0.01570848318996632,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
276,1000,0.5,0.5,2,250,ones,50,0.1,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
278,1000,0.5,0.5,2,250,random_uniform,50,0.25,365.8045654296875,-0.006835953403683839,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
279,1000,0.5,0.5,2,250,ones,50,0.25,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
189,10000,0.5,1.0,2,250,ones,50,0.5,5000.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
280,1000,0.5,0.5,2,250,random_uniform,50,0.5,375.3202209472656,-0.006694877971114967,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
195,10000,0.5,0.75,2,250,random_uniform,50,0.25,3741.50634765625,0.012832258008857749,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
194,10000,0.5,0.75,2,250,ones,50,0.1,5000.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
193,10000,0.5,0.75,2,250,random_uniform,50,0.1,3735.197021484375,0.003457928204407382,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
192,10000,0.5,1.0,2,250,ones,50,0.0,5000.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
190,1000,0.5,1.0,2,250,ones,3,0.25,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
281,1000,0.5,0.5,2,250,ones,50,0.5,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
285,5000,0.5,1.0,2,250,ones,1,0.1,2500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
286,5000,0.5,1.0,2,250,random_uniform,1,0.25,1898.705078125,0.01457132230239041,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
191,10000,0.5,1.0,2,250,random_uniform,50,0.0,3763.258544921875,-0.009867530021907147,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
205,10000,0.5,0.5,2,250,ones,50,0.25,5000.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
201,1000,0.5,1.0,2,250,random_uniform,3,0.5,370.7740173339844,0.03431896483904885,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
187,10000,0.5,1.0,2,250,ones,50,0.25,5000.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
219,1000,0.5,0.75,2,250,ones,3,0.5,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
253,1000,0.5,0.5,2,250,random_uniform,15,0.5,376.8375244140625,0.0073116354014056495,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
222,1000,0.5,1.0,2,250,random_uniform,1,0.5,380.3637390136719,-0.0011977863192148344,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
252,1000,0.5,0.5,2,250,ones,15,0.25,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
251,1000,0.5,0.5,2,250,random_uniform,15,0.25,378.9090881347656,-0.055536449982764774,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
246,1000,0.5,0.75,2,250,ones,15,0.5,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
245,1000,0.5,0.75,2,250,random_uniform,15,0.5,384.99932861328125,0.10404474241562606,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
227,1000,0.5,0.5,2,250,random_uniform,3,0.5,378.7790832519531,-0.06884247764412614,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
228,1000,0.5,0.5,2,250,ones,3,0.5,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
243,1000,0.5,0.75,2,250,ones,15,0.25,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
202,10000,0.5,0.5,2,250,random_uniform,50,0.1,3772.91845703125,0.010849745059266676,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
242,1000,0.5,0.75,2,250,random_uniform,15,0.25,372.1352233886719,-0.045605760517147625,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
241,1000,0.5,0.75,2,250,ones,15,0.1,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
231,1000,0.5,1.0,2,250,random_uniform,15,0.1,380.80133056640625,-0.08458610365742865,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
232,1000,0.5,1.0,2,250,ones,15,0.1,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
233,1000,0.5,1.0,2,250,ones,1,0.5,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
234,1000,0.5,1.0,2,250,random_uniform,15,0.25,372.9140625,0.08714609549793403,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
235,1000,0.5,1.0,2,250,ones,15,0.25,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
236,1000,0.5,1.0,2,250,random_uniform,15,0.5,387.8254699707031,-0.027040144717097266,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
237,1000,0.5,1.0,2,250,ones,15,0.5,500.0,,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
