,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
66,10000,0.75,1.0,2,250,rulsif,1,0.01,0.140625,False,4695.87158203125,0.37630205688995166,2.7234898164458687e-88,0.8681037855148316,-0.477644719183445,0.63,0.8,0.87,0.9,0.95
15,1000,0.75,1.0,2,250,NCE_Q,1,0.04,0.140625,False,450.8015441894531,0.018017531601996113,9.544427679677674e-95,0.8861277818679809,-0.4728942196816206,0.63,0.78,0.86,0.9,0.96
51,5000,0.75,1.0,2,250,real_weights,1,0.05,0.140625,False,2004.71533203125,0.9999999999999934,6.635666722252997e-98,0.8940718698501587,-0.48574850521981716,0.77,0.87,0.9,0.93,0.96
58,10000,0.75,1.0,2,250,real_TRE_Q,1,0.0,0.140625,False,3935.28173828125,0.0620779250247915,9.642595433193575e-99,0.8960878276824951,-0.4775648731738329,0.8,0.87,0.92,0.94,0.96
21,1000,0.75,1.0,2,250,random_uniform,1,0.05,0.140625,False,368.480224609375,-0.036197271068430875,1.350708794968102e-99,0.8981037855148315,-0.4845109833404422,0.7,0.86,0.88,0.93,0.98
19,1000,0.75,1.0,2,250,real_TRE_Q,1,0.05,0.140625,False,445.7803649902344,-0.1778429537592043,3.7952070694738906e-103,0.9060878276824951,-0.478203596547246,0.75,0.9,0.93,0.95,0.96
79,10000,0.75,1.0,2,250,real_weights,1,0.04,0.140625,False,4241.05419921875,0.999999999999992,1.5718275093823355e-113,0.9260478734970092,-0.49524950282648206,0.83,0.88,0.95,0.96,1.0
30,5000,0.75,1.0,2,250,real_TRE_Q,1,0.01,0.140625,False,2213.87890625,0.10673534269931734,1.7158125689036153e-118,0.9340319156646728,-0.49257485615089536,0.82,0.92,0.95,0.96,0.98
20,1000,0.75,1.0,2,250,NCE_Q,1,0.05,0.140625,False,406.42950439453125,0.07526633360513474,1.6149456052011667e-118,0.9340718698501587,-0.49329341761767864,0.77,0.9,0.94,0.98,0.98
32,5000,0.75,1.0,2,250,random_uniform,1,0.01,0.140625,False,1875.6181640625,-0.03866983003267167,1.4565084141568428e-130,0.9500399541854858,-0.49668663018383086,0.87,0.95,0.97,0.98,0.99
59,10000,0.75,1.0,2,250,NCE_Q,1,0.0,0.140625,False,4900.2587890625,0.22673619910978993,1.4565084141568428e-130,0.9500399541854858,-0.4933333359658718,0.89,0.95,0.97,0.97,0.98
44,5000,0.75,1.0,2,250,rulsif,1,0.03,0.140625,False,2212.572021484375,0.11202850837445552,2.574619649808233e-132,0.9520159578323364,-0.4977245533373207,0.86,0.96,0.96,0.99,1.0
31,5000,0.75,1.0,2,250,NCE_Q,1,0.01,0.140625,False,2332.597412109375,0.12368044192758493,3.5210367983213287e-134,0.9540319156646728,-0.49716567038558424,0.91,0.94,0.97,0.97,1.0
36,5000,0.75,1.0,2,250,real_TRE_Q,1,0.02,0.140625,False,2131.842529296875,0.14342891069692937,2.74569686696071e-147,0.966008038520813,-0.49868263478856534,0.95,0.97,0.98,0.99,1.0
63,10000,0.75,1.0,2,250,real_TRE_Q,1,0.01,0.140625,False,3472.924072265625,0.0638986766848726,6.073631991699355e-150,0.9680239963531494,-0.4990419184905477,0.93,0.97,0.98,1.0,1.0
72,10000,0.75,1.0,2,250,rulsif,1,0.02,0.140625,False,4668.60888671875,0.42374414219985007,6.073631991699355e-150,0.9680239963531494,-0.4987225568620488,0.93,0.97,0.98,0.99,1.0
38,5000,0.75,1.0,2,250,random_uniform,1,0.02,0.140625,False,1864.0447998046875,0.008617999453309605,2.075789806782955e-170,0.9800399541854858,-0.4995209598564543,0.95,0.98,1.0,1.0,1.0
60,10000,0.75,1.0,2,250,random_uniform,1,0.0,0.140625,False,3754.6806640625,0.02543144840084176,4.229721403741043e-180,0.9840319156646729,-0.4994012010283768,0.91,0.98,1.0,1.0,1.0
84,10000,0.75,1.0,2,250,real_weights,1,0.05,0.140625,False,4241.05419921875,0.999999999999992,7.742658038757297e-186,0.986008038520813,-0.4996407198777888,0.97,0.99,0.99,1.0,1.0
64,10000,0.75,1.0,2,250,NCE_Q,1,0.01,0.140625,False,4677.4814453125,-0.001895488133287663,3.336661855387848e-210,0.9920159578323364,-0.49988023996411357,0.98,1.0,1.0,1.0,1.0
37,5000,0.75,1.0,2,250,NCE_Q,1,0.02,0.140625,False,2315.6787109375,0.09227995027678211,3.336661855387848e-210,0.9920159578323364,-0.4998403203499038,0.97,1.0,1.0,1.0,1.0
69,10000,0.75,1.0,2,250,real_TRE_Q,1,0.02,0.140625,False,4304.21630859375,0.10163690592084208,2.628234928302387e-240,0.996008038520813,-0.4999600803857902,0.99,1.0,1.0,1.0,1.0
43,5000,0.75,1.0,2,250,random_uniform,1,0.03,0.140625,False,1866.003173828125,-0.0421405848676108,2.628234928302387e-240,0.996008038520813,-0.4999600803857902,0.99,1.0,1.0,1.0,1.0
81,10000,0.75,1.0,2,250,NCE_Q,1,0.04,0.140625,False,4875.1171875,-0.018014776536301246,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
82,10000,0.75,1.0,2,250,random_uniform,1,0.04,0.140625,False,3747.83203125,0.006914445346002389,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
80,10000,0.75,1.0,2,250,real_TRE_Q,1,0.04,0.140625,False,4211.33447265625,0.13742710339390332,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
83,10000,0.75,1.0,2,250,rulsif,1,0.04,0.140625,False,4593.13330078125,0.2528348421191409,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
85,10000,0.75,1.0,2,250,real_TRE_Q,1,0.05,0.140625,False,4189.1015625,0.1846613341730893,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
86,10000,0.75,1.0,2,250,NCE_Q,1,0.05,0.140625,False,4680.48388671875,0.10519556992258293,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
76,10000,0.75,1.0,2,250,random_uniform,1,0.03,0.140625,False,3784.74072265625,-0.006550633767224344,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
87,10000,0.75,1.0,2,250,random_uniform,1,0.05,0.140625,False,3757.532958984375,0.0008648072924570492,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
88,10000,0.75,1.0,2,250,rulsif,1,0.05,0.140625,False,4594.0087890625,0.2614515934956676,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
77,10000,0.75,1.0,2,250,rulsif,1,0.03,0.140625,False,4702.83349609375,0.25146141097359004,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
53,5000,0.75,1.0,2,250,NCE_Q,1,0.05,0.140625,False,2443.843505859375,0.027495221647379862,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
75,10000,0.75,1.0,2,250,NCE_Q,1,0.03,0.140625,False,4516.49072265625,0.2358851653959472,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
74,10000,0.75,1.0,2,250,real_TRE_Q,1,0.03,0.140625,False,4516.666015625,0.08032330252192248,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
