,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
179,10000,0.05,1.0,2,250,rulsif,15,0.004,0.00014648437500000008,False,148.63409423828125,-0.01119536125824864,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
397,10000,0.05,1.0,2,250,rulsif,2,0.002,0.0006250000000000001,False,4372.23779296875,0.13446356193652925,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
396,10000,0.05,1.0,2,250,rulsif,2,0.002,0.0006250000000000001,True,4367.84033203125,-0.040789270075035446,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
140,5000,0.05,1.0,2,250,random_uniform,15,0.003,0.00014648437500000008,True,1845.7860107421875,-0.02570960614771041,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
370,10000,0.05,1.0,2,250,rulsif,2,0.001,0.0006250000000000001,False,4433.1220703125,0.0798286662029579,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
222,5000,0.05,1.0,2,250,random_uniform,50,0.0,0.0004882812500000003,False,1866.97900390625,-0.0068212582825055625,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
70,10000,0.05,1.0,2,250,random_uniform,15,0.0,0.00014648437500000008,False,3750.833251953125,-0.015504981533058302,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
309,10000,0.05,1.0,2,250,random_uniform,50,0.003,0.0004882812500000003,True,3751.998291015625,0.003927580679077353,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
326,5000,0.05,1.0,2,250,random_uniform,50,0.004,0.0004882812500000003,True,1878.0859375,0.0007174542149543453,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
252,10000,0.05,1.0,2,250,real_TRE_Q,50,0.001,0.0004882812500000003,False,4230.70361328125,-0.09587539223540878,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
255,10000,0.05,1.0,2,250,NCE_Q,50,0.001,0.0004882812500000003,False,4263.87548828125,0.002697855910512574,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
256,10000,0.05,1.0,2,250,random_uniform,50,0.001,0.0004882812500000003,True,3741.476318359375,0.010437827283881795,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
257,10000,0.05,1.0,2,250,random_uniform,50,0.001,0.0004882812500000003,False,3744.353759765625,-0.010833818889624973,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
319,5000,0.05,1.0,2,250,rulsif,2,0.001,0.0006250000000000001,False,2187.346923828125,0.25894466123407134,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
115,5000,0.05,1.0,2,250,random_uniform,15,0.002,0.00014648437500000008,False,1873.06591796875,0.008128298493449785,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
114,5000,0.05,1.0,2,250,random_uniform,15,0.002,0.00014648437500000008,True,1864.576904296875,-0.03959813336865561,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
91,10000,0.05,1.0,2,250,real_TRE_Q,15,0.001,0.00014648437500000008,True,4248.26416015625,0.13906982031460455,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
92,10000,0.05,1.0,2,250,real_TRE_Q,15,0.001,0.00014648437500000008,False,4243.30615234375,-0.10060437096888361,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
