,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
76,5000,0.5,0.5,2,250,real_weights,50,0.5,1286.735107421875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
13,1000,0.5,1.0,2,250,real_weights,15,0.25,843.0722045898438,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
74,5000,0.5,0.5,2,250,real_weights,50,0.25,1286.735107421875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
73,5000,0.5,0.5,2,250,real_weights,50,0.1,1286.735107421875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
14,1000,0.5,1.0,2,250,real_weights,15,0.5,843.0722045898438,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
82,10000,0.5,0.75,2,250,real_weights,3,0.1,6495.6376953125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
5,10000,0.5,0.75,2,250,real_weights,50,0.5,5406.56982421875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
84,10000,0.5,0.75,2,250,real_weights,3,0.5,6495.6376953125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
8,10000,0.5,0.5,2,250,real_weights,50,0.25,2499.543701171875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
7,10000,0.5,0.5,2,250,real_weights,50,0.1,2499.543701171875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
88,10000,0.5,0.5,2,250,real_weights,3,0.25,2729.763427734375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
89,10000,0.5,0.5,2,250,real_weights,3,0.5,2729.763427734375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
70,5000,0.5,0.75,2,250,real_weights,50,0.25,2729.433837890625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
4,10000,0.5,0.75,2,250,real_weights,50,0.25,5406.56982421875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
3,10000,0.5,0.75,2,250,real_weights,50,0.1,5406.56982421875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
2,1000,0.5,0.5,2,250,real_weights,3,0.5,286.2667541503906,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
104,10000,0.5,1.0,2,250,real_weights,50,0.1,5704.107421875,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
105,10000,0.5,1.0,2,250,real_weights,50,0.25,5704.107421875,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
106,10000,0.5,1.0,2,250,real_weights,50,0.5,5704.107421875,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
71,5000,0.5,0.75,2,250,real_weights,50,0.5,2729.433837890625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
69,5000,0.5,0.75,2,250,real_weights,50,0.1,2729.433837890625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
29,1000,0.5,0.75,2,250,real_weights,50,0.1,511.68353271484375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
40,5000,0.5,1.0,2,250,real_weights,3,0.5,4008.005859375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
48,5000,0.5,0.5,2,250,real_weights,3,0.25,1388.1851806640625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
22,1000,0.5,0.5,2,250,real_weights,15,0.25,280.8429260253906,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
45,5000,0.5,0.75,2,250,real_weights,3,0.5,3303.903564453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
44,5000,0.5,0.75,2,250,real_weights,3,0.25,3303.903564453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
43,5000,0.5,0.75,2,250,real_weights,3,0.1,3303.903564453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
23,1000,0.5,0.5,2,250,real_weights,15,0.5,280.8429260253906,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
25,1000,0.5,1.0,2,250,real_weights,50,0.1,579.545166015625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
39,5000,0.5,1.0,2,250,real_weights,3,0.25,4008.005859375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
16,1000,0.5,0.75,2,250,real_weights,15,0.1,674.9569702148438,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
38,5000,0.5,1.0,2,250,real_weights,3,0.1,4008.005859375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
26,1000,0.5,1.0,2,250,real_weights,50,0.25,579.545166015625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
36,1000,0.5,0.5,2,250,real_weights,50,0.5,219.64810180664062,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
35,1000,0.5,0.5,2,250,real_weights,50,0.25,219.64810180664062,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
34,1000,0.5,0.5,2,250,real_weights,50,0.1,219.64810180664062,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
27,1000,0.5,1.0,2,250,real_weights,50,0.5,579.545166015625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
32,1000,0.5,0.75,2,250,real_weights,50,0.5,511.68353271484375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
49,5000,0.5,0.5,2,250,real_weights,3,0.5,1388.1851806640625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
21,1000,0.5,0.5,2,250,real_weights,15,0.1,280.8429260253906,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
51,5000,0.5,1.0,2,250,real_weights,15,0.1,3830.31298828125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
