,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
67,1000,0.0,0.75,2,250,real_weights,15,0.5,0.0,93.45077514648438,1.0,8.842502547616848e-67,0.7886055731773376,0.4501991868019104,0.0,0.0,0.0,0.0
54,1000,0.01,0.75,2,250,real_weights,3,0.5,1.1222222222222222e-05,95.21717071533203,1.0,1.4098548473090577e-68,0.79649405002594,0.4485258460044861,0.0,0.0,0.0,0.0
73,1000,0.01,0.75,2,250,real_weights,15,0.5,7.890625000000002e-06,92.58197021484375,1.0,5.0364018969666404e-70,0.8026693177223205,0.45390433073043823,0.0,0.0,0.0,0.0
60,1000,0.1,0.75,2,250,real_weights,3,0.5,0.0011222222222222224,81.47381591796875,0.9999999999999999,8.844809499384743e-80,0.8403983736038207,0.46466124057769775,0.0,0.0,0.0,0.0
17,5000,0.1,0.5,2,250,real_weights,15,0.5,0.0007890625000000004,271.39886474609375,1.0,1.0862192831454891e-82,0.8503983736038208,0.4724302887916565,0.0,0.0,0.0,0.0
80,1000,0.1,0.75,2,250,real_weights,15,0.5,0.0007890625000000004,50.216468811035156,1.0,3.6972477121130997e-91,0.8764143395423889,0.476254940032959,0.0,0.0,0.0,0.0
49,1000,0.0,1.0,2,250,real_weights,3,0.5,0.0,96.77569580078125,1.0,4.3636811414585665e-108,0.9161753273010254,0.4904780387878418,0.0,0.0,0.0,0.0
56,1000,0.01,1.0,2,250,real_weights,3,0.5,1.1222222222222222e-05,95.66102600097656,1.0,6.308406247837335e-120,0.9361753273010254,0.4901195764541626,0.0,0.0,0.0,0.0
109,10000,0.1,0.5,2,250,real_weights,15,0.5,0.0007890625000000004,457.7425537109375,0.9999999999999999,6.233867367899065e-129,0.9481274890899658,0.49243026971817017,0.0,0.0,0.0,0.0
82,1000,0.1,1.0,2,250,real_weights,15,0.5,0.0007890625000000004,46.34156799316406,1.0,3.118390059807676e-138,0.9581274890899658,0.4939442276954651,0.0,0.0,0.0,0.0
76,1000,0.01,1.0,2,250,real_weights,15,0.5,7.890625000000002e-06,96.36201477050781,1.0,2.1560515592889455e-140,0.9601593613624573,0.4937847852706909,0.0,0.0,0.0,0.0
69,1000,0.0,1.0,2,250,real_weights,15,0.5,0.0,96.77569580078125,1.0,2.1560515592889455e-140,0.9601593613624573,0.4938645362854004,0.0,0.0,0.0,0.0
62,1000,0.1,1.0,2,250,real_weights,3,0.5,0.0011222222222222224,92.6036605834961,1.0,4.917648684696603e-159,0.9740637445449829,0.4928686022758484,0.0,0.0,0.0,0.0
7,5000,0.1,0.75,2,250,real_weights,3,0.5,0.0011222222222222224,430.5091857910156,0.9999999999999999,1.1109034718736501e-192,0.9880478382110596,0.4959362745285034,0.0,0.0,0.0,0.0
146,5000,0.01,0.75,2,250,real_weights,3,0.5,1.1222222222222222e-05,472.7289123535156,1.0,1.1109034718736501e-192,0.9880478382110596,0.4959362745285034,0.0,0.0,0.0,0.0
32,1000,0.01,0.5,2,250,real_weights,1,0.5,2.5e-05,422.8883361816406,1.0,2.7331200507874655e-210,0.9920318722724915,0.4959760904312134,0.0,0.0,0.0,0.0
140,5000,0.0,0.75,2,250,real_weights,3,0.5,0.0,471.57293701171875,1.0,2.7331200507874655e-210,0.9920318722724915,0.4958963990211487,0.0,0.0,0.0,0.0
38,1000,0.1,0.5,2,250,real_weights,1,0.5,0.0025000000000000005,405.041259765625,1.0,2.7331200507874655e-210,0.9920318722724915,0.4959760904312134,0.0,0.0,0.0,0.0
25,1000,0.0,0.5,2,250,real_weights,1,0.5,0.0,419.58538818359375,1.0,2.7331200507874655e-210,0.9920318722724915,0.4958963990211487,0.0,0.0,0.0,0.0
98,10000,0.1,0.75,2,250,real_weights,3,0.5,0.0011222222222222224,914.0463256835938,0.9999999999999999,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
105,10000,0.0,1.0,2,250,real_weights,15,0.5,0.0,960.9949951171875,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
103,10000,0.0,0.75,2,250,real_weights,15,0.5,0.0,984.9013671875,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
104,10000,0.0,1.0,2,250,real_weights,1,0.5,0.0,4552.44921875,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
122,5000,0.0,1.0,2,250,real_weights,1,0.5,0.0,2239.260498046875,0.9999999999999999,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
120,5000,0.0,0.75,2,250,real_weights,1,0.5,0.0,2280.848388671875,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
93,10000,0.01,1.0,2,250,real_weights,3,0.5,1.1222222222222222e-05,943.372802734375,0.9999999999999998,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
107,10000,0.01,0.75,2,250,real_weights,15,0.5,7.890625000000002e-06,975.4005126953125,0.9999999999999999,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
91,10000,0.01,0.75,2,250,real_weights,3,0.5,1.1222222222222222e-05,974.9403076171875,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
118,5000,0.0,0.5,2,250,real_weights,1,0.5,0.0,2119.62744140625,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
84,10000,0.0,0.75,2,250,real_weights,1,0.5,0.0,4620.072265625,0.9999999999999999,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
116,10000,0.01,0.5,2,250,real_weights,1,0.5,2.5e-05,4271.201171875,0.9999999999999998,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
87,10000,0.0,1.0,2,250,real_weights,3,0.5,0.0,960.9949951171875,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
