,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
97,1000,0.0,0.25,2,250,real_TRE_Q,50,0.25,495.548095703125,-0.033618947337666245,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
489,10000,0.0,0.5,2,250,NCE_Q,3,0.5,4946.33935546875,-0.03663138803985536,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
488,10000,0.0,0.5,2,250,real_TRE_Q,3,0.5,4977.56298828125,0.16681223418057137,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
105,1000,0.5,1.0,2,250,NCE_Q,50,0.1,496.2324523925781,0.08242384431058769,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
98,1000,0.0,0.25,2,250,NCE_Q,50,0.25,498.3409423828125,0.04981751244417162,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
486,10000,0.0,0.5,2,250,NCE_Q,3,0.25,4974.33642578125,0.11641882214314718,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
104,1000,0.5,1.0,2,250,real_TRE_Q,50,0.1,494.89605712890625,-0.09420420317949983,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
474,10000,0.0,1.0,2,250,real_TRE_Q,3,0.1,4956.166015625,-0.2809483729054799,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
485,10000,0.0,0.5,2,250,real_TRE_Q,3,0.25,4927.25927734375,0.22785220768790226,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
475,10000,0.0,1.0,2,250,NCE_Q,3,0.1,4984.0810546875,0.004528119202576717,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
476,1000,0.5,1.0,2,250,NCE_Q,1,0.5,499.0337829589844,-0.06822807848149519,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
477,10000,0.0,1.0,2,250,real_TRE_Q,3,0.25,4964.68017578125,-0.17447514125259295,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
99,1000,0.0,0.25,2,250,real_TRE_Q,50,0.5,493.53631591796875,-0.041471311516426766,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
100,1000,0.0,0.25,2,250,NCE_Q,50,0.5,499.4036560058594,0.04152030359637318,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
480,10000,0.0,1.0,2,250,NCE_Q,3,0.5,4993.33056640625,-0.2990201122353452,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
92,1000,0.0,0.5,2,250,NCE_Q,50,0.5,498.29339599609375,0.009862407047168231,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
471,10000,0.25,0.25,2,250,NCE_Q,3,0.5,4973.357421875,-0.033756245614568824,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
494,10000,0.0,0.25,2,250,real_TRE_Q,3,0.25,4901.37841796875,0.050111309103613895,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
106,1000,0.5,1.0,2,250,real_TRE_Q,50,0.25,490.7259521484375,0.15275763414130933,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
108,1000,0.5,1.0,2,250,real_TRE_Q,50,0.5,496.9693603515625,-0.01892414748588197,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
504,10000,0.5,1.0,2,250,NCE_Q,3,0.25,4992.705078125,-0.08460592891676734,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
503,10000,0.5,1.0,2,250,real_TRE_Q,3,0.25,4966.70751953125,-0.10807181830018782,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
502,10000,0.5,1.0,2,250,NCE_Q,3,0.1,4991.44384765625,-0.06606352399960226,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
501,10000,0.5,1.0,2,250,real_TRE_Q,3,0.1,4980.7216796875,0.05220448465742098,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
465,1000,0.5,1.0,2,250,real_TRE_Q,1,0.5,499.46173095703125,0.7118074706554376,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
107,1000,0.5,1.0,2,250,NCE_Q,50,0.25,497.2408447265625,-0.12637758396369875,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
88,1000,0.0,0.5,2,250,real_TRE_Q,50,0.25,498.0029296875,-0.10158934742382535,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
495,10000,0.0,0.25,2,250,NCE_Q,3,0.25,4979.841796875,0.1524458946454703,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
468,10000,0.25,0.25,2,250,real_TRE_Q,3,0.25,4973.96337890625,0.2757097483965297,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
469,10000,0.25,0.25,2,250,NCE_Q,3,0.25,4981.22509765625,-0.016529772240746577,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
540,10000,0.25,0.5,2,250,real_TRE_Q,50,0.5,4979.568359375,0.03652237020879551,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
91,1000,0.0,0.5,2,250,real_TRE_Q,50,0.5,486.7355651855469,-0.05423294104263675,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
497,10000,0.0,0.25,2,250,NCE_Q,3,0.5,4975.2138671875,0.1115792415056539,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
470,10000,0.25,0.25,2,250,real_TRE_Q,3,0.5,4958.02734375,0.1047462068752614,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
496,10000,0.0,0.25,2,250,real_TRE_Q,3,0.5,4952.86328125,0.09620319682877396,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
89,1000,0.0,0.5,2,250,NCE_Q,50,0.25,497.6882019042969,0.021753486568618512,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
249,5000,0.0,0.5,2,250,NCE_Q,3,0.5,2481.4638671875,0.028942686793034748,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
541,10000,0.25,0.5,2,250,NCE_Q,50,0.5,4989.6455078125,-0.0036022929372402086,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
604,10000,0.5,0.25,2,250,NCE_Q,50,0.5,4980.90234375,0.0243901017974137,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
615,1000,0.25,1.0,2,250,real_TRE_Q,3,0.1,490.99755859375,0.3729439010650271,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
26,1000,0.5,1.0,2,250,NCE_Q,3,0.1,498.6108703613281,-0.061477108452351055,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
27,1000,0.5,1.0,2,250,real_TRE_Q,3,0.25,495.91357421875,-0.06287672095672053,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
28,1000,0.5,1.0,2,250,NCE_Q,3,0.25,499.0629577636719,-0.07246762770324629,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
29,1000,0.5,1.0,2,250,real_TRE_Q,3,0.5,491.5233459472656,0.11640885251393311,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
30,1000,0.5,1.0,2,250,NCE_Q,3,0.5,498.8868408203125,-0.011777480970572983,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
35,1000,0.25,0.5,2,250,NCE_Q,1,0.5,488.8272705078125,-0.03423954783237736,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
36,1000,0.5,0.5,2,250,real_TRE_Q,3,0.25,491.8453369140625,-0.11037437757522282,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
37,1000,0.5,0.5,2,250,NCE_Q,3,0.25,496.34521484375,0.031964893988060177,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
603,10000,0.5,0.25,2,250,real_TRE_Q,50,0.5,4970.6240234375,0.03226969820155981,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
617,1000,0.25,1.0,2,250,real_TRE_Q,3,0.25,471.7949523925781,0.17928917151003051,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
602,10000,0.5,0.25,2,250,NCE_Q,50,0.25,4965.7763671875,-0.010987026533838986,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
601,10000,0.5,0.25,2,250,real_TRE_Q,50,0.25,4949.42724609375,0.02650365788948031,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
600,10000,0.5,0.25,2,250,NCE_Q,50,0.1,4945.5068359375,0.012256275495561245,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
599,10000,0.5,0.25,2,250,real_TRE_Q,50,0.1,4963.67822265625,0.04150116211696264,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
38,1000,0.5,0.5,2,250,real_TRE_Q,3,0.5,492.6869201660156,0.06782566460336105,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
39,1000,0.5,0.5,2,250,NCE_Q,3,0.5,497.8818359375,-0.023886182925175362,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
595,10000,0.5,0.5,2,250,NCE_Q,50,0.5,4986.251953125,0.032315307308920294,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
594,10000,0.5,0.5,2,250,real_TRE_Q,50,0.5,4969.5888671875,-0.0011797886103444158,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
593,10000,0.5,0.5,2,250,NCE_Q,50,0.25,4985.384765625,0.008275796268825655,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
616,1000,0.25,1.0,2,250,NCE_Q,3,0.1,497.1890563964844,-0.366624482902013,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
618,1000,0.25,1.0,2,250,NCE_Q,3,0.25,498.03887939453125,0.1157350522560341,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
591,10000,0.5,0.5,2,250,NCE_Q,50,0.1,4949.66064453125,-0.014685367054769886,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
11,1000,0.0,0.5,2,250,real_TRE_Q,3,0.5,489.48272705078125,0.01416145184035702,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
643,1000,0.0,1.0,2,250,real_TRE_Q,3,0.25,495.2646484375,0.6961962392025844,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
642,1000,0.0,1.0,2,250,NCE_Q,3,0.1,497.4894714355469,0.0475539163562055,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
641,1000,0.0,1.0,2,250,real_TRE_Q,3,0.1,495.612060546875,0.21800006365882488,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
3,1000,0.0,1.0,2,250,real_TRE_Q,3,0.5,490.28045654296875,-0.3651344359926057,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
4,1000,0.0,1.0,2,250,NCE_Q,3,0.5,499.10906982421875,-0.4031779526354451,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
638,1000,0.25,0.25,2,250,NCE_Q,3,0.5,490.21966552734375,0.03568264922929713,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
637,1000,0.25,0.25,2,250,real_TRE_Q,3,0.5,490.9935607910156,0.08495950079003368,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
9,1000,0.0,0.5,2,250,real_TRE_Q,3,0.25,493.6633605957031,-0.03350212164219271,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
10,1000,0.0,0.5,2,250,NCE_Q,3,0.25,495.9312744140625,0.03690574014940818,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
12,1000,0.0,0.5,2,250,NCE_Q,3,0.5,494.1474304199219,-0.05002103247352534,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
