,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
82,1000,0.5,0.75,2,250,real_weights,50,0.0,376.63751220703125,1.0,0.0007011522323705393,0.19713149547576903,-0.07426300644874573,0.03,0.08,0.17,0.22
104,5000,0.5,1.0,2,250,real_weights,3,0.0,4008.005859375,1.0,0.0005234379031879692,0.20071715593338013,-0.050039857625961304,0.05,0.07,0.19,0.25
6,10000,0.5,0.75,2,250,real_weights,1,0.0,7418.4150390625,0.9999999999999998,0.0004113088707938671,0.2036254858970642,0.12239044904708862,0.02,0.02,0.03,0.08
99,5000,0.5,0.5,2,250,real_weights,1,0.0,3038.915771484375,1.0,0.00034449477817081266,0.20573700904846193,0.10752987861633301,0.0,0.03,0.06,0.09
77,1000,0.5,1.0,2,250,real_weights,50,0.0,218.8770751953125,1.0,0.00018603445440957834,0.21290838956832886,-0.1042231023311615,0.05,0.08,0.16,0.24
41,10000,0.5,1.0,2,250,real_weights,50,0.0,1369.9832763671875,0.9999999999999998,7.65204341350609e-05,0.22282867908477788,0.07075697183609009,0.03,0.06,0.14,0.2
50,10000,0.5,0.5,2,250,real_weights,50,0.0,1848.161865234375,1.0,4.473962687972961e-05,0.22860557317733765,0.08525890111923218,0.02,0.04,0.09,0.12
95,5000,0.5,0.75,2,250,real_weights,1,0.0,3737.7265625,1.0,8.930571704036985e-06,0.24509956359863283,0.11478078365325928,0.01,0.02,0.06,0.11
60,1000,0.5,0.5,2,250,real_weights,3,0.0,286.2667541503906,0.9999999999999999,2.5807931754244053e-06,0.25705178499221804,0.14992034435272217,0.0,0.0,0.01,0.02
10,10000,0.5,0.5,2,250,real_weights,1,0.0,6117.48974609375,1.0,1.089581357549065e-06,0.2650199127197266,0.13752985000610352,0.01,0.01,0.03,0.05
